ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-02-01T00:00:00Z,AA,0,248,-15.00,-5.64,-3.01,2.77,22.65,559.00
2025-02-01T00:00:00Z,AA,1,19,-18.00,-8.00,-6.00,4.00,22.00,318.00
2025-02-01T00:00:00Z,AA,5,2779,-19.00,-7.37,-4.51,-0.99,10.76,1684.00
2025-02-01T00:00:00Z,AA,6,5111,-18.00,-7.10,-4.37,-1.05,10.93,2455.00
2025-02-01T00:00:00Z,AA,7,5409,-17.00,-6.70,-3.90,-0.34,15.45,1803.00
2025-02-01T00:00:00Z,AA,8,5538,-19.00,-6.09,-3.38,0.83,22.73,2336.00
2025-02-01T00:00:00Z,AA,9,3938,-19.00,-5.49,-2.77,2.65,26.11,2063.00
2025-02-01T00:00:00Z,AA,10,3991,-26.00,-5.16,-2.24,6.58,37.16,3298.00
2025-02-01T00:00:00Z,AA,11,4551,-18.00,-4.98,-1.95,7.08,39.33,2127.00
2025-02-01T00:00:00Z,AA,12,3959,-18.00,-4.90,-1.13,12.05,45.66,2646.00
2025-02-01T00:00:00Z,AA,13,3984,-18.00,-5.11,-1.85,9.76,46.04,1293.00
2025-02-01T00:00:00Z,AA,14,4260,-26.00,-5.17,-1.60,12.36,48.79,1311.00
2025-02-01T00:00:00Z,AA,15,3487,-20.00,-5.44,-1.83,11.36,52.43,1485.00
2025-02-01T00:00:00Z,AA,16,4176,-26.00,-5.27,-1.76,10.56,47.52,1468.00
2025-02-01T00:00:00Z,AA,17,4504,-21.00,-5.67,-1.66,12.77,49.43,1185.00
2025-02-01T00:00:00Z,AA,18,4414,-34.00,-4.96,-1.06,14.29,52.05,1353.00
2025-02-01T00:00:00Z,AA,19,3580,-25.00,-5.27,-1.04,16.60,60.05,1613.00
2025-02-01T00:00:00Z,AA,20,2916,-28.00,-4.68,-0.75,15.88,49.62,972.00
2025-02-01T00:00:00Z,AA,21,2404,-19.00,-4.40,-0.55,16.71,52.54,1147.00
2025-02-01T00:00:00Z,AA,22,2060,-20.00,-5.88,-2.45,9.95,41.10,1447.00
2025-02-01T00:00:00Z,AA,23,754,-19.00,-6.00,-2.25,4.92,28.18,1041.00
2025-02-01T00:00:00Z,DL,0,53,-28.00,-13.00,-9.00,-4.00,2.00,30.00
